Term,# Equality Checks,Min Depth,Max Depth,Avg Depth,Stdev Depth
App,55252,1,28,2.9614131,2.51733719269947
Or,992,3,17,4.899194,2.5348277297916
Quantification,807491,3,23,6.8462906,2.5456484784215
AtMost,73544,2,14,2.6111171,1.30016956323905
SeqIn,4,2,2,2,0
Var,50383,1,1,1,0
SetCardinality,12,3,3,3,0
FullPerm,4582,1,1,1,0
Implies,86517,3,22,6.330848,2.79590193374847
SeqAt,290,2,8,2.5413792,0.855012606589197
AtLeast,6,2,3,2.3333333,0.471404506742082
PermLess,13727,2,11,2.4400816,1.0065038301648
SeqSingleton,3,2,6,4.6666665,1.88561802696833
SeqDrop,10,2,5,3.3,1.41774460042868
Lookup,1275,2,13,2.6752942,1.431188160589
IntLiteral,6926,1,1,1,0
PredicateLookup,4,2,4,3,1
First,4548,2,26,3.7042656,2.59629944667463
BuiltinEquals,1314513,2,28,5.87612,2.99789720590375
Plus,521,2,6,3.865643,1.16127217373245
Less,72860,2,8,2.641916,1.11427583938981
SetSubset,98,2,2,2,0
SeqLength,257,2,13,4.4241247,2.80824992870085
PredicateTrigger,49,4,6,4.122449,0.434842348141043
FractionPermLiteral,762,1,1,1,0
SortWrapper,2568,3,23,6.061137,2.40903509886728
MultisetCount,3,2,2,2,0
PermPlus,100,2,8,3.62,1.56703572931314
NoPerm,4915,1,1,1,0
Not,229641,2,25,3.667555,1.8105525373681
SeqNil,4,1,1,1,0
PermAtMost,110583,2,9,2.8515685,1.31725227495346
And,8752,3,21,4.471092,1.80038010769415
SeqTake,5,2,3,2.8,0.399999995529652
Minus,50,2,8,2.54,1.15256252475033
FieldTrigger,32507,2,20,3.506168,1.82128559347441
PermIntDiv,2,3,3,3,0
Combine,46,2,8,2.2826087,1.22763500582198
SetIn,408,2,4,2.7990196,0.493883857810787
Iff,17,5,7,6,0.485071250976182
SeqAppend,21,2,4,3.0952382,0.749905540557855
MultisetSubset,24,2,2,2,0
Null$,6111,1,1,1,0
Unit$,27473,1,1,1,0
SeqUpdate,1,2,2,2,0
Mod,3,2,2,2,0
True$,116235,1,1,1,0
PermMin,231,3,8,6.194805,1.0197913177978
PermLookup,141,2,2,2,0
CustomEquals,13781,2,19,6.359408,3.42782270964348
PermMinus,961,2,10,4.486993,1.68857617853828
Second,10521,2,26,4.208155,2.65833640342543
Times,54,2,3,2.2222223,0.415739675347773
FractionPerm,7,3,3,3,0
IsReadPermVar,52655,2,2,2,0
Greater,2,2,2,2,0
Ite,645,3,7,4.7844963,0.924303992783043
False$,25278,1,1,1,0
,,,,3.07225176724138,
